MODEL CYL PUISS LONG LARG POIDS V_MAX
Alfasud_TI 1350 79 393 161 870 165
Audi_100 1588 85 468 177 1110 160
Simca_1300 1294 68 424 168 1050 152
Citroen_GS_Club 1222 59 412 161 930 151
Fiat_132 1585 98 439 164 1105 165
Lancia_Beta 1297 82 429 169 1080 160
Peugeot_504 1796 79 449 169 1160 154
Renault_16_TL 1565 55 424 163 1010 140
Renault_30 2664 128 452 173 1320 180
Toyota_Corolla 1166 55 399 157 815 140
Alfetta_1.66 1570 109 428 162 1060 175
Princess_1800 1798 82 445 172 1160 158
Datsun_200L 1998 115 469 169 1370 160
Taunus_2000 1993 98 438 170 1080 167
Rancho 1442 80 431 166 1129 144
Mazda_9295 1769 83 440 165 1095 165
Opel_Rekord 1979 100 459 173 1120 173
Lada_1300 1294 68 404 161 955 140
