benev chom depsoc devel heur pib satfam satlogt satnvie spauvr ssabri vief vieh
at 60 4.7 29.1 0.944 20 128.8 8.2 39 32 900 3 82 77
be 37 8.1 29.3 0.945 40 112.3 7.9 55 35 822 5 82 77
cy 23 4.6 17.8 0.903 24 93.2 7.9 49 24 658 4 82 77
cz 33 7.7 19.6 0.885 16 79.4 7.5 37 14 212 6 79 73
de 52 9.1 29.5 0.932 24 113.6 8.1 52 31 856 2 82 76
dk 49 4.9 30.7 0.943 49 126.7 8.7 55 55 1106 1 80 76
ee 38 8.6 13.4 0.858 12 67.9 7.1 21 9 149 11 78 67
es 18 10.2 20 0.938 23 102.4 8.2 40 24 529 5 84 77
fi 50 8.6 26.7 0.947 28 116.4 8.2 41 26 871 2 82 76
fr 36 9.3 31.2 0.942 31 112.8 7.4 39 16 797 13 84 77
gr 18 9.9 26 0.921 21 88.4 8.2 15 30 471 5 82 77
hu 17 6.4 20.7 0.869 17 65.3 7.8 40 14 172 5 77 69
ie 40 4.4 17 0.956 46 143.8 8.2 62 48 936 4 82 77
it 34 8.3 26.1 0.940 16 103.4 8.0 36 20 717 12 83 78
lt 11 10.4 13.3 0.857 13 57.7 7.0 18 6 103 15 77 65
lu 45 4.2 22.6 0.945 38 278.3 8.4 72 61 1424 2 82 76
lv 20 9.9 12.6 0.845 12 55.8 6.5 16 6 110 16 77 66
mt 24 7.6 18.8 0.875 26 75.5 8.5 61 36 596 8 81 78
nl 55 3.9 28.5 0.947 43 132.2 7.7 59 46 849 1 82 77
pl 16 17.9 20 0.862 19 53 7.8 35 14 127 10 79 71
pt 12 6.6 24.9 0.904 17 74.5 7.4 31 14 358 5 81 75
se 53 6.3 32.9 0.951 38 120.3 8.1 54 45 865 1 83 78
si 35 7.6 17.2 0.910 26 88.8 7.7 38 16 440 3 81 74
sk 33 16.7 24.3 0.856 10 62.7 7.1 31 10 142 4 78 70
uk 28 4.9 26.3 0.940 39 119.1 7.9 53 40 936 8 81 77
